symbol,link,trend,close,volume_diario,ma_dist_pct
TRX_USDT,https://futures.mexc.com/exchange/TRX_USDT,ALTA,0.31251,10M,0.9323686432691556
XAUT_USDT,https://futures.mexc.com/exchange/XAUT_USDT,ALTA,4709.1,95M,1.4616594969913486
PAXG_USDT,https://futures.mexc.com/exchange/PAXG_USDT,ALTA,4727.91,58M,1.4737612599001084
MANA_USDT,https://futures.mexc.com/exchange/MANA_USDT,ALTA,0.1563,6M,3.7780614461293687
SILVER_USDT,https://futures.mexc.com/exchange/SILVER_USDT,ALTA,94.2,55M,4.725821733190983
SAND_USDT,https://futures.mexc.com/exchange/SAND_USDT,ALTA,0.13872,9M,5.176804137243071
BERA_USDT,https://futures.mexc.com/exchange/BERA_USDT,ALTA,0.9637,9M,25.054831600119833
RIVER_USDT,https://futures.mexc.com/exchange/RIVER_USDT,ALTA,31.231,29M,28.4998897274838
AXS_USDT,https://futures.mexc.com/exchange/AXS_USDT,ALTA,2.005,41M,28.661959080210014
BTR_USDT,https://futures.mexc.com/exchange/BTR_USDT,ALTA,0.07596,10M,39.69267838065147
