symbol,link,trend,close,volume_diario,ma_dist_pct
TRX_USDT,https://futures.mexc.com/exchange/TRX_USDT,BAIXA,0.29726,17M,-1.3175604892721249
DASH_USDT,https://futures.mexc.com/exchange/DASH_USDT,BAIXA,70.44,44M,-1.7665151473910776
BNB_USDT,https://futures.mexc.com/exchange/BNB_USDT,BAIXA,893.4,127M,-2.0339146818686946
BTC_USDT,https://futures.mexc.com/exchange/BTC_USDT,BAIXA,89700.0,5.1B,-3.2933045370494907
BCH_USDT,https://futures.mexc.com/exchange/BCH_USDT,BAIXA,569.32,71M,-3.840288748189106
CAKE_USDT,https://futures.mexc.com/exchange/CAKE_USDT,BAIXA,1.8953,8M,-4.0388293924499985
CHZ_USDT,https://futures.mexc.com/exchange/CHZ_USDT,BAIXA,0.05417,54M,-4.086014686895057
ATOM_USDT,https://futures.mexc.com/exchange/ATOM_USDT,BAIXA,2.295,30M,-4.506724401223278
ETH_USDT,https://futures.mexc.com/exchange/ETH_USDT,BAIXA,2996.7,2.9B,-4.706869310337194
FF_USDT,https://futures.mexc.com/exchange/FF_USDT,BAIXA,0.07863,12M,-4.9103417691234945
ICP_USDT,https://futures.mexc.com/exchange/ICP_USDT,BAIXA,3.661,69M,-5.219850206348405
PUMPFUN_USDT,https://futures.mexc.com/exchange/PUMPFUN_USDT,BAIXA,0.002499,29M,-5.648340382849586
MNT_USDT,https://futures.mexc.com/exchange/MNT_USDT,BAIXA,0.8757,12M,-5.8463271639448395
XRP_USDT,https://futures.mexc.com/exchange/XRP_USDT,BAIXA,1.8981,1.1B,-5.931191810092086
XLM_USDT,https://futures.mexc.com/exchange/XLM_USDT,BAIXA,0.20835,40M,-5.949160941886957
NIGHT_USDT,https://futures.mexc.com/exchange/NIGHT_USDT,BAIXA,0.05916,9M,-5.960747681247701
SHIB_USDT,https://futures.mexc.com/exchange/SHIB_USDT,BAIXA,7.728e-06,42M,-6.075841114092805
ETC_USDT,https://futures.mexc.com/exchange/ETC_USDT,BAIXA,11.456,37M,-6.561579266877922
LTC_USDT,https://futures.mexc.com/exchange/LTC_USDT,BAIXA,67.46,115M,-6.571906828184636
AAVE_USDT,https://futures.mexc.com/exchange/AAVE_USDT,BAIXA,154.07,62M,-6.6315846248730566
LINK_USDT,https://futures.mexc.com/exchange/LINK_USDT,BAIXA,12.235,247M,-6.9595005412780155
