symbol,link,trend,close,volume_diario,ma_dist_pct
BTC_USDT,https://futures.mexc.com/exchange/BTC_USDT,BAIXA,92947.6,4.4B,-1.3255274363319014
SOL_USDT,https://futures.mexc.com/exchange/SOL_USDT,NEUTRO,134.08,2.1B,-5.614612691453736
ETH_USDT,https://futures.mexc.com/exchange/ETH_USDT,BAIXA,3207.87,1.9B,-1.2762064024122883
XRP_USDT,https://futures.mexc.com/exchange/XRP_USDT,NEUTRO,1.9914,910M,-4.068951015485453
DOGE_USDT,https://futures.mexc.com/exchange/DOGE_USDT,NEUTRO,0.12938,640M,-7.490653983284572
SUI_USDT,https://futures.mexc.com/exchange/SUI_USDT,NEUTRO,1.5675,301M,-11.61575081395323
PEPE_USDT,https://futures.mexc.com/exchange/PEPE_USDT,NEUTRO,5.248e-06,261M,-11.229939245666303
ADA_USDT,https://futures.mexc.com/exchange/ADA_USDT,NEUTRO,0.3696,235M,-6.7472091619624415
ZEC_USDT,https://futures.mexc.com/exchange/ZEC_USDT,BAIXA,366.95,215M,-7.902138559256601
LTC_USDT,https://futures.mexc.com/exchange/LTC_USDT,NEUTRO,71.38,214M,-5.926637791733095
BNB_USDT,https://futures.mexc.com/exchange/BNB_USDT,BAIXA,927.0,208M,-0.39442539708463104
LINK_USDT,https://futures.mexc.com/exchange/LINK_USDT,NEUTRO,12.891,194M,-5.4471080585513185
ASTER_USDT,https://futures.mexc.com/exchange/ASTER_USDT,BAIXA,0.6183,156M,-11.845317480051557
AVAX_USDT,https://futures.mexc.com/exchange/AVAX_USDT,NEUTRO,12.734,123M,-7.677284690080764
ICP_USDT,https://futures.mexc.com/exchange/ICP_USDT,NEUTRO,3.872,118M,3.6173033144617213
XMR_USDT,https://futures.mexc.com/exchange/XMR_USDT,NEUTRO,629.22,117M,-2.4427550688263593
HYPE_USDT,https://futures.mexc.com/exchange/HYPE_USDT,BAIXA,23.734,117M,-4.103788328634132
ENA_USDT,https://futures.mexc.com/exchange/ENA_USDT,BAIXA,0.1927,115M,-12.600928451436937
XAUT_USDT,https://futures.mexc.com/exchange/XAUT_USDT,ALTA,4672.2,104M,1.3850819847678992
WLD_USDT,https://futures.mexc.com/exchange/WLD_USDT,NEUTRO,0.5036,84M,-11.342200122529807
NEAR_USDT,https://futures.mexc.com/exchange/NEAR_USDT,NEUTRO,1.589,83M,-8.800629360111985
UNI_USDT,https://futures.mexc.com/exchange/UNI_USDT,NEUTRO,5.001,81M,-7.338015144706608
TAO_USDT,https://futures.mexc.com/exchange/TAO_USDT,NEUTRO,251.9,81M,-9.766702510636312
PAXG_USDT,https://futures.mexc.com/exchange/PAXG_USDT,ALTA,4688.58,81M,1.3877892624535173
CHZ_USDT,https://futures.mexc.com/exchange/CHZ_USDT,NEUTRO,0.05715,77M,1.8719481521377843
DUSK_USDT,https://futures.mexc.com/exchange/DUSK_USDT,NEUTRO,0.20882,76M,135.02573963144619
HBAR_USDT,https://futures.mexc.com/exchange/HBAR_USDT,NEUTRO,0.11072,71M,-6.5368030523731715
AAVE_USDT,https://futures.mexc.com/exchange/AAVE_USDT,NEUTRO,164.41,69M,-4.620664025375987
ONDO_USDT,https://futures.mexc.com/exchange/ONDO_USDT,NEUTRO,0.3469,66M,-11.26600964737195
ARB_USDT,https://futures.mexc.com/exchange/ARB_USDT,NEUTRO,0.1933,65M,-8.244014825202854
FILECOIN_USDT,https://futures.mexc.com/exchange/FILECOIN_USDT,BAIXA,1.375,62M,-8.558014933092858
BCH_USDT,https://futures.mexc.com/exchange/BCH_USDT,BAIXA,587.92,61M,-2.6013237153268363
OP_USDT,https://futures.mexc.com/exchange/OP_USDT,NEUTRO,0.3179,60M,-6.730772091528743
SILVER_USDT,https://futures.mexc.com/exchange/SILVER_USDT,ALTA,94.73,60M,5.183329823413706
DOT_USDT,https://futures.mexc.com/exchange/DOT_USDT,NEUTRO,2.021,60M,-6.550030003000293
TONCOIN_USDT,https://futures.mexc.com/exchange/TONCOIN_USDT,BAIXA,1.58,54M,-7.307372497485126
PENGU_USDT,https://futures.mexc.com/exchange/PENGU_USDT,NEUTRO,0.010371,52M,-13.912965761142388
APT_USDT,https://futures.mexc.com/exchange/APT_USDT,BAIXA,1.6025,51M,-11.421346690006985
XLM_USDT,https://futures.mexc.com/exchange/XLM_USDT,NEUTRO,0.21653,45M,-4.918141212471271
FARTCOIN_USDT,https://futures.mexc.com/exchange/FARTCOIN_USDT,NEUTRO,0.3233,45M,-13.0176113022457
TRUMPOFFICIAL_USDT,https://futures.mexc.com/exchange/TRUMPOFFICIAL_USDT,NEUTRO,4.988,39M,-7.280201861328448
SHIB_USDT,https://futures.mexc.com/exchange/SHIB_USDT,NEUTRO,8.054e-06,38M,-6.1830159478941615
PIPPIN_USDT,https://futures.mexc.com/exchange/PIPPIN_USDT,NEUTRO,0.31378,36M,-3.300571468451459
DASH_USDT,https://futures.mexc.com/exchange/DASH_USDT,NEUTRO,76.08,36M,13.748636501219291
FHE_USDT,https://futures.mexc.com/exchange/FHE_USDT,ALTA,0.2079,34M,109.46517899680121
AXS_USDT,https://futures.mexc.com/exchange/AXS_USDT,NEUTRO,1.678,32M,27.667021648954808
ETC_USDT,https://futures.mexc.com/exchange/ETC_USDT,NEUTRO,11.993,31M,-5.645449400725259
PUMPFUN_USDT,https://futures.mexc.com/exchange/PUMPFUN_USDT,NEUTRO,0.002564,27M,-6.1263686351282916
ZEN_USDT,https://futures.mexc.com/exchange/ZEN_USDT,NEUTRO,10.98,27M,0.9855010875984831
RIVER_USDT,https://futures.mexc.com/exchange/RIVER_USDT,ALTA,30.47,27M,22.374935126280317
WLFI_USDT,https://futures.mexc.com/exchange/WLFI_USDT,NEUTRO,0.1654,26M,-3.644685739131449
ATOM_USDT,https://futures.mexc.com/exchange/ATOM_USDT,NEUTRO,2.443,25M,-5.0087244153059
ARPA_USDT,https://futures.mexc.com/exchange/ARPA_USDT,ALTA,0.01985,22M,33.67434434227254
WIF_USDT,https://futures.mexc.com/exchange/WIF_USDT,NEUTRO,0.3503,22M,-9.677791529441365
TIA_USDT,https://futures.mexc.com/exchange/TIA_USDT,NEUTRO,0.4955,21M,-12.045507230870728
SEI_USDT,https://futures.mexc.com/exchange/SEI_USDT,NEUTRO,0.1108,19M,-8.246718635485383
INJ_USDT,https://futures.mexc.com/exchange/INJ_USDT,NEUTRO,4.774,16M,-9.701306901896263
QNT_USDT,https://futures.mexc.com/exchange/QNT_USDT,ALTA,83.63,15M,7.114066384430556
VET_USDT,https://futures.mexc.com/exchange/VET_USDT,NEUTRO,0.01078,15M,-7.5242927164846565
RENDER_USDT,https://futures.mexc.com/exchange/RENDER_USDT,NEUTRO,2.067,14M,-9.310761789600964
KAS_USDT,https://futures.mexc.com/exchange/KAS_USDT,BAIXA,0.04247,13M,-6.949934484108847
NIGHT_USDT,https://futures.mexc.com/exchange/NIGHT_USDT,NEUTRO,0.06242,13M,-6.130928001390097
ROSE_USDT,https://futures.mexc.com/exchange/ROSE_USDT,ALTA,0.01879,13M,23.608957484403728
1000BONK_USDT,https://futures.mexc.com/exchange/1000BONK_USDT,NEUTRO,0.009391,13M,-11.676009535643196
TRX_USDT,https://futures.mexc.com/exchange/TRX_USDT,NEUTRO,0.31094,12M,1.6934285226968
ALGO_USDT,https://futures.mexc.com/exchange/ALGO_USDT,NEUTRO,0.1211,12M,-7.968918991478022
ETHFI_USDT,https://futures.mexc.com/exchange/ETHFI_USDT,BAIXA,0.6426,11M,-12.38274606582863
BEAT_USDT,https://futures.mexc.com/exchange/BEAT_USDT,BAIXA,0.2955,11M,-21.341649786821808
WHITEWHALE_USDT,https://futures.mexc.com/exchange/WHITEWHALE_USDT,BAIXA,0.03642,9M,-52.80270234214528
RESOLV_USDT,https://futures.mexc.com/exchange/RESOLV_USDT,ALTA,0.09954,9M,16.465241779083275
XPL_USDT,https://futures.mexc.com/exchange/XPL_USDT,NEUTRO,0.1328,9M,-12.035671181440271
BERA_USDT,https://futures.mexc.com/exchange/BERA_USDT,ALTA,0.9026,9M,21.709955615906143
SAND_USDT,https://futures.mexc.com/exchange/SAND_USDT,ALTA,0.13752,9M,5.627025007360131
FET_USDT,https://futures.mexc.com/exchange/FET_USDT,NEUTRO,0.2468,8M,-12.010255415872198
BTR_USDT,https://futures.mexc.com/exchange/BTR_USDT,ALTA,0.0808,8M,33.28666488075102
MNT_USDT,https://futures.mexc.com/exchange/MNT_USDT,BAIXA,0.9141,8M,-3.8561984990556533
LDO_USDT,https://futures.mexc.com/exchange/LDO_USDT,NEUTRO,0.5575,7M,-10.23165552119646
H_USDT,https://futures.mexc.com/exchange/H_USDT,NEUTRO,0.17394,7M,3.3203623599007095
CAKE_USDT,https://futures.mexc.com/exchange/CAKE_USDT,BAIXA,2.011,7M,-1.3288958450457538
